Female - Raw Open,-56,1.,Maya Guru,2000,,PA,143,54.85,92.5,97.5,102.5,55,60,62.5,120,-125,-125,285,334.95,74.74
Female - Raw Open,-60,1.,Sophia Fortin,2003,Triumph Strength &amp; Performance,MA,135,59.40,160,170,175,95,97.5,100,172.5,182.5,-190,457.5,510.40,112.36
Female - Raw Open,-60,2.,Katherine Newman,1988,,MA,155,59.30,135,145,152.5,60,65,70,185,195,-205,417.5,466.27,78.76
Female - Raw Open,-60,3.,Malina Cote,1994,,MA,140,59.00,110,117.5,122.5,67.5,-72.5,72.5,-135,140,150,345,386.55,81.89
Female - Raw Open,-60,4.,Kelly Gamache,1993,,MA,127,58.40,110,115,117.5,75,80,82.5,130,137.5,142.5,342.5,386.27,93.93
Female - Raw Open,-60,5.,Grace Pu,2002,,MA,124,59.20,100,110,115,50,55,60,102.5,115,-125,290,324.23,67.60
Female - Raw Open,-60,-,Kateryna Korolkova,1989,Rx Powerlifting Club,MA,112,58.10,-85,-92.5,-92.5,50,55,-60,102.5,110,120,0,0.00,62.88
Female - Raw Open,-60,-,Jessica Blanchard,1992,,MA,164,59.30,117.5,122.5,125,-90,-90,-90,145,-147.5,-147.5,0,0.00,0.00
Female - Raw Open,-75,1.,Courtney Leahy,1994,,MA,129,73.30,150,157.5,165,82.5,90,97.5,160,170,-182.5,432.5,426.43,94.05
Female - Raw Open,-75,2.,Angelly Pallazhco,2002,Northeastern Powerlifting,MA,149,68.65,140,147.5,-152.5,75,80,-82.5,165,175,182.5,410,419.20,80.67
Female - Raw Open,-75,3.,Nicole Seman,2001,,MA,137,73.50,142.5,157.5,-165,75,80,-85,150,165,172.5,410,403.65,77.03
Female - Raw Open,-75,4.,Sergielisse Perez,2002,Triumph Strength &amp; Performance,MA,120,73.55,-155,160,165,87.5,92.5,-95,137.5,142.5,-147.5,400,393.67,89.03
Female - Raw Open,-75,5.,Emily Smith,1995,,MA,144,74.30,122.5,127.5,130,60,-62.5,62.5,142.5,150,157.5,350,342.59,59.77
Female - Raw Open,-75,6.,Jessica Pyle-Carter,1990,,MA,150,74.50,117.5,-122.5,-122.5,75,77.5,-80,152.5,155,-157.5,350,342.10,73.99
Female - Raw Open,-75,7.,Jessica Burdick,1989,,MA,134,74.20,110,117.5,122.5,60,62.5,65,147.5,152.5,-160,340,333.04,62.21
Female - Raw Open,-75,8.,Sara Miller,1999,,MA,130,73.55,105,112.5,122.5,57.5,62.5,-65,125,135,147.5,332.5,327.23,60.16
Female - Raw Open,-75,9.,Jacqueline Pinney,1997,,MA,114,73.50,110,117.5,-125,65,-70,70,117.5,-132.5,132.5,320,315.05,67.40
Female - Raw Open,-75,10.,Aneesa Sonawalla,1994,Rx Powerlifting Club,MA,147,74.50,115,120,125,45,50,55,117.5,125,-132.5,305,298.12,52.51
Female - Raw Open,-75,11.,Caelan Langley,2002,,MA,131,70.05,100,105,110,55,60,62.5,107.5,115,122.5,295,298.20,62.15
Female - Raw Open,-75,12.,Heather DeNisco,1994,,MA,161,73.70,80,87.5,97.5,50,-55,55,122.5,132.5,-140,285,280.18,52.87
Female - Raw Open,-75,13.,Nicole Mayer,1998,Rx Powerlifting Club,MA,113,74.05,95,-105,-105,45,50,-55,105,112.5,117.5,262.5,257.41,47.92
Female - Raw Open,-75,-,Adrianna Newkirk,1979,Rx Powerlifting Club,MA,156,72.55,-142.5,-142.5,-142.5,62.5,-67.5,-72.5,162.5,172.5,-182.5,0,0.00,60.69
Female - Raw Open,-90,1.,Joy Li,2004,Northeastern Powerlifting,MA,145,86.00,135,142.5,147.5,85,90,92.5,157.5,-165,-165,397.5,361.75,81.55
Female - Raw Open,-90,2.,Tiana DeCrescenzo,2000,,MA,154,87.25,130,135,137.5,72.5,75,-77.5,140,-142.5,145,357.5,323.19,65.69
Female - Raw Open,-100,1.,Samantha Cohen,1981,,MA,123,93.00,150,160,170,100,110,-115,160,180,185,465,408.71,93.83
Female - Raw Open,100+,1.,Nadia Moumine,1996,Rx Powerlifting Club,MA,139,137.85,200,212.5,222.5,125,132.5,140,182.5,190,-197.5,552.5,429.65,109.17
Female - Raw Open,100+,2.,Denise Boucher,1974,,MA,158,102.20,142.5,150,157.5,80,85,-87.5,152.5,162.5,167.5,410,346.97,70.34
Female - Raw Open,100+,3.,Terry Hodgkins,1969,,MA,132,124.75,95,-105,107.5,67.5,72.5,-77.5,127.5,135,-142.5,315,250.13,57.58
Female - Raw Open,-67.5,1.,Ashlyn Buckley,2002,Boston Barbell,MA,222,65.50,137.5,142.5,147.5,60,65,67.5,145,155,167.5,382.5,401.89,70.42
Female - Raw Open,-67.5,2.,Jennie Wang,2001,Northeastern Powerlifting,MA,210,63.15,125,132.5,137.5,65,70,-72.5,160,167.5,-175,375,402.74,75.04
Female - Raw Open,-67.5,3.,Emma O'Leary,2000,Boston Barbell,MA,234,65.30,135,145,150,67.5,72.5,75,125,135,140,365,384.20,78.41
Female - Raw Open,-67.5,4.,Donna Battista,1970,,MA,138,64.70,112.5,120,127.5,62.5,67.5,-70,147.5,157.5,165,360,381.02,71.06
Female - Raw Open,-67.5,5.,Jennifer Cowan,2002,,MA,255,66.45,122.5,-130,132.5,85,90,-95,125,127.5,135,357.5,372.46,92.90
Female - Raw Open,-67.5,6.,Ann Pham,1987,,MA,236,64.35,115,122.5,127.5,47.5,50,52.5,137.5,147.5,155,335,355.71,55.49
Female - Raw Open,-67.5,7.,Emily Fried,1999,Blueprint Strength,MA,254,65.75,110,115,117.5,57.5,-62.5,-62.5,145,152.5,160,335,351.19,59.82
Female - Raw Open,-67.5,8.,Andrea Fortes,1995,,MA,217,65.80,120,127.5,-130,55,57.5,60,127.5,137.5,145,332.5,348.41,62.38
Female - Raw Open,-67.5,9.,Faye Zhang,1996,Rx Powerlifting Club,MA,265,66.40,95,102.5,107.5,60,65,70,125,132.5,140,317.5,330.93,72.30
Female - Raw Open,-67.5,10.,Julie Buchbinder,2003,Northeastern Powerlifting,MA,228,65.70,110,115,-120,65,67.5,70,120,-125,-125,305,319.89,72.86
Female - Raw Open,-67.5,11.,Susan Walter,1948,,MA,111,63.50,60,67.5,75,42.5,45,-47.5,92.5,100,107.5,227.5,243.51,48.04
Female - Raw Open,-67.5,12.,Jennifer Lawrence,1961,Rx Powerlifting Club,MA,142,65.65,-37.5,37.5,-40,27.5,-30,30,-65,-70,70,137.5,144.28,31.24
Female - Raw Open,-82.5,1.,Elizabeth Yarde,2003,Northeastern Powerlifting,MA,151,81.70,150,157.5,-165,77.5,82.5,85,190,202.5,-210,445,414.98,76.89
Female - Raw Open,-82.5,2.,Lucy Platt,2003,Blueprint Strength,MA,121,82.20,135,-140,-140,75,80,82.5,150,157.5,162.5,380,353.31,74.39
Female - Raw Open,-82.5,3.,Ketthip (Tip) Thirakoun,1975,,MA,152,78.25,-115,117.5,-125,65,67.5,70,145,150,155,342.5,326.33,64.86
Female - Raw Open,-82.5,4.,Karine Makarian,1992,,MA,159,81.70,95,102.5,107.5,47.5,52.5,55,110,117.5,125,287.5,268.10,49.75
Female - Raw Teen 3,-90,1.,Joy Li,2004,Northeastern Powerlifting,MA,145,86.00,135,142.5,147.5,85,90,92.5,157.5,-165,-165,397.5,361.75,81.55
Female - Raw Youth 3,-67.5,1.,Codi Lai,2009,,MA,146,64.00,55,62.5,70,35,42.5,47.5,65,75,80,197.5,210.40,50.41
